# JD (TT) mg err
2452910.34659  16.851 0.023
2452910.35448  16.938 0.024
2452911.31442  16.770 0.020
2452911.32192  16.558 0.018
2452911.32952  16.520 0.017
2452913.24415  16.387 0.016
2452913.25047  16.387 0.015
2452913.25680  16.314 0.015
2452913.26310  16.394 0.015
2452915.31155  16.442 0.017
2452915.31946  16.567 0.017
2452915.33515  16.993 0.024
2452917.26273  16.686 0.023
2452917.27022  16.563 0.023
2452921.25329  16.948 0.036
2452921.26109  17.128 0.042
2452921.26862  17.508 0.051
2452925.29567  16.929 0.037
2452925.30322  17.243 0.046
2452925.31094  17.439 0.056
2452926.28612  16.446 0.021
2452926.29369  16.452 0.021
2452926.30143  16.379 0.021
2452933.31040  16.317 0.013
2452933.31807  16.367 0.015
2452933.33349  16.550 0.020
2452946.28106  16.324 0.018
2452946.28873  16.301 0.018
2452946.29618  16.458 0.021
2452966.17446  16.687 0.019
2452966.18191  16.523 0.016
2452966.18935  16.611 0.017
2452966.19681  16.372 0.015
2452967.19373  16.661 0.020
2452968.17494  17.428 0.030
2452968.18042  17.421 0.028
2452968.19103  16.895 0.021
2453112.56691  16.640 0.018
2453148.52356  17.250 0.035
2453148.53088  17.019 0.034
2453193.43828  16.731 0.028
2453204.43114  16.646 0.023
2453204.44367  17.229 0.032
2453204.44925  17.192 0.032
2453205.49130  16.416 0.033
2453205.49810  16.451 0.032
2453205.50441  16.555 0.035
2453207.49324  16.353 0.025
2453207.49956  16.426 0.027
2453207.50587  16.342 0.025
2453208.50618  16.939 0.046
2453209.49904  16.484 0.026
2453212.42808  16.852 0.027
2453212.44071  16.696 0.025
2453212.44702  16.650 0.024
2453213.41924  16.379 0.021
2453213.42555  16.409 0.021
2453213.43185  16.460 0.021
2453213.43816  16.485 0.022
2453222.46158  16.503 0.029
2453225.34864  17.224 0.038
2453235.32856  17.221 0.043
2453249.38486  16.449 0.045
2453249.39978  16.479 0.043
2453249.40725  16.450 0.044
2453250.42234  17.160 0.069
2453251.43059  16.311 0.034
2453251.44556  16.305 0.035
2453252.35527  16.388 0.028
2453252.36319  16.372 0.027
2453252.37121  16.384 0.028
2453252.37924  16.409 0.028
2453266.25124  16.379 0.017
2453266.25805  16.346 0.016
2453266.26500  16.297 0.016
2453266.27204  16.406 0.017
2453267.29785  16.533 0.020
2453267.30431  16.411 0.018
2453267.31068  16.371 0.017
2453267.31706  16.350 0.017
2453283.27057  16.673 0.019
2453296.26556  16.651 0.024
2453296.27306  16.626 0.024
2453296.28057  16.579 0.023
2453307.26756  16.625 0.044
2453311.23114  16.735 0.026
2453311.23749  16.581 0.024
2453313.22498  17.349 0.027
2453313.23310  17.084 0.023
2453313.24100  16.789 0.019
2453313.24888  16.750 0.017
2453314.23619  16.394 0.014
2453314.24258  16.363 0.013
2453314.24900  16.329 0.014
2453314.25553  16.403 0.014
2453314.26198  16.462 0.015
2453315.25165  17.292 0.026
2453317.21379  16.434 0.017
2453317.21897  16.565 0.018
2453465.56423  16.745 0.024
2453620.37616  16.797 0.026
2453625.41428  16.548 0.021
2453625.41982  16.762 0.023
2453112.56163  16.561 0.018
2453209.50536  16.437 0.027
2453311.25022  16.457 0.024
2453652.21787  17.253 0.029
2453911.47739  16.589 0.022
2453911.48145  16.589 0.022
2453913.48886  16.548 0.023
2453913.49700  16.557 0.022
2453913.50108  16.552 0.022
2453951.44015  17.343 0.033
2453951.44831  17.146 0.029
2453966.46323  16.579 0.025
2453973.30588  16.646 0.021
2453973.31003  16.549 0.020
2453974.40014  16.583 0.023
2453974.40496  16.576 0.023
2453974.40978  16.521 0.022
2453974.41460  16.490 0.022
2453978.43173  16.551 0.020
2453978.43699  16.534 0.019
2453978.44227  16.542 0.020
2453997.41889  16.801 0.023
2453997.42530  16.832 0.025
2454022.27571  16.559 0.018
2454065.21681  16.661 0.019
2454116.17364  16.666 0.020
2454116.18645  16.594 0.018
2454116.19286  16.542 0.018
