2452825.49878  17.184 0.047
2452826.42939  17.247 0.041
2452826.43434  17.238 0.035
2452826.43928  17.194 0.032
2452826.44424  17.230 0.034
2452838.49607  17.362 0.074
2452838.50323  17.422 0.075
2452839.48291  17.229 0.054
2452839.49013  17.155 0.047
2452839.49732  17.227 0.048
2452839.50449  17.030 0.042
2452840.40022  18.285 0.093
2452840.40518  17.931 0.061
2452840.41012  17.866 0.060
2452842.37820  17.327 0.046
2452842.38338  17.364 0.040
2452842.38857  17.413 0.043
2452851.42446  17.543 0.057
2452851.43514  17.937 0.067
2452851.44041  18.137 0.085
2452852.44029  17.299 0.037
2452852.44548  17.229 0.034
2452854.36422  17.322 0.040
2452854.36949  17.358 0.038
2452854.37491  17.431 0.041
2452854.38035  17.433 0.040
2452867.41206  16.946 0.049
2452867.42008  16.978 0.042
2452867.42829  16.951 0.041
2452867.43622  16.933 0.043
2452868.39009  17.503 0.201
2452869.38243  17.590 0.081
2452869.38991  17.555 0.066
2452869.39736  17.363 0.053
2452869.40489  17.208 0.049
2452870.37927  17.209 0.042
2452890.32570  17.150 0.040
2452890.33308  17.250 0.043
2452890.33945  17.312 0.045
2452891.37121  17.535 0.062
2452891.37879  17.473 0.058
2452891.38629  17.283 0.050
2452906.30173  17.601 0.043
2452906.30934  17.651 0.038
2452906.31690  17.642 0.036
2452906.32483  17.353 0.028
2452908.29729  17.260 0.030
2452908.30496  17.326 0.029
2452908.31279  17.523 0.035
2452908.32067  17.742 0.042
2452910.32071  17.156 0.027
2452910.33646  17.453 0.033
2452910.34463  17.730 0.041
2452910.35253  17.733 0.042
2452911.31255  17.619 0.045
2452911.32005  17.470 0.036
2452913.24256  17.228 0.028
2452913.24889  17.248 0.025
2452913.25521  17.183 0.024
2452913.26152  17.195 0.024
2452915.30961  17.285 0.028
2452915.31751  17.424 0.029
2452915.32535  17.618 0.032
2452915.33321  17.827 0.040
2452917.26085  17.420 0.044
2452917.26835  17.339 0.040
2452917.27580  17.402 0.047
2452921.25141  17.791 0.083
2452921.25920  17.896 0.091
2452921.26675  18.363 0.132
2452921.27441  18.103 0.104
2452925.29379  17.670 0.069
2452925.30134  17.878 0.085
2452925.30906  18.032 0.102
2452926.28425  17.347 0.043
2452926.29183  17.254 0.040
2452926.29954  17.252 0.040
2452933.30852  17.173 0.018
2452933.31619  17.163 0.018
2452933.32404  17.334 0.029
2452933.33156  17.301 0.028
2452946.27918  17.160 0.031
2452946.28685  17.166 0.031
2452946.29431  17.200 0.033
2452966.18004  17.389 0.023
2452966.18748  17.225 0.021
2452966.19493  17.187 0.020
2452967.18062  17.377 0.027
2452967.18465  17.382 0.026
2452967.18869  17.410 0.027
2452967.19273  17.453 0.028
2452968.17359  18.300 0.046
2452968.17908  18.066 0.039
2452968.18456  17.938 0.037
2452968.18975  17.848 0.034
2452977.17631  17.628 0.051
2452977.18343  17.771 0.057
2452977.19005  18.104 0.074
2452977.19670  18.228 0.080
2452984.18251  17.626 0.060
2452984.18794  17.666 0.069
2452984.19604  17.887 0.083
2452998.17328  17.376 0.029
2452998.17985  17.334 0.024
2452998.18644  17.394 0.026
2452998.19306  17.511 0.044
2453087.60096  17.972 0.056
2453087.60500  18.199 0.084
2453087.60904  18.065 0.102
2453098.48739  17.654 0.071
2453098.49256  17.829 0.079
2453098.49775  17.669 0.071
2453098.50292  18.255 0.111
2453112.56034  17.458 0.030
2453112.56562  17.367 0.032
2453112.57080  17.419 0.044
2453112.57604  17.432 0.067
2453115.55688  17.314 0.025
2453115.56724  17.347 0.039
2453134.51354  17.686 0.099
2453134.51873  17.830 0.112
2453134.52390  18.011 0.108
2453134.52908  17.680 0.078
2453148.52192  18.061 0.077
2453148.52924  17.983 0.093
2453148.53602  17.683 0.107
2453148.54329  17.681 0.201
2453193.43181  17.480 0.062
2453193.43698  17.349 0.051
2453193.44217  17.327 0.049
2453196.38122  17.806 0.069
2453196.38639  17.697 0.058
2453196.39158  17.555 0.052
2453196.39675  17.523 0.050
2453204.42949  17.503 0.052
2453204.44229  17.901 0.060
2453204.44790  17.906 0.060
2453205.48971  16.647 0.053
2453205.49652  17.284 0.080
2453205.50284  17.382 0.074
2453207.49167  17.094 0.059
2453207.49798  17.229 0.059
2453207.50430  17.303 0.060
2453208.49196  18.293 0.203
2453208.49828  17.953 0.141
2453208.50460  18.018 0.134
2453209.49746  17.314 0.072
2453209.50379  17.285 0.062
2453209.51009  17.107 0.056
2453210.47117  17.351 0.096
2453210.47748  17.343 0.083
2453210.48380  17.514 0.092
2453212.43281  17.647 0.060
2453212.43912  17.594 0.057
2453212.44543  17.456 0.052
2453213.41765  17.210 0.046
2453213.42396  17.261 0.041
2453213.43027  17.254 0.042
2453213.43659  17.390 0.046
2453222.45996  17.157 0.058
2453222.46670  17.216 0.058
2453222.47338  17.440 0.096
